Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
322.34	1.0000	37.456	0.026698	20.511	23.181	123.52	29.986	38.452	278.37	0.89789	1.6065e-05	0.018506	vapor
322.34	3.5789	135.41	0.0073850	20.448	23.091	112.72	30.188	39.059	276.81	0.89836	1.6096e-05	0.018644	vapor
322.34	6.1579	235.40	0.0042482	20.384	22.999	108.01	30.393	39.698	275.23	0.89875	1.6129e-05	0.018790	vapor
322.34	8.7368	337.52	0.0029628	20.318	22.907	104.89	30.604	40.369	273.65	0.89906	1.6165e-05	0.018943	vapor
322.34	11.316	441.89	0.0022630	20.251	22.812	102.54	30.819	41.077	272.04	0.89928	1.6204e-05	0.019105	vapor
322.34	13.895	548.63	0.0018227	20.184	22.716	100.61	31.039	41.823	270.43	0.89941	1.6246e-05	0.019276	vapor
322.34	16.474	657.87	0.0015200	20.114	22.618	98.980	31.265	42.612	268.80	0.89943	1.6291e-05	0.019457	vapor
322.34	19.053	769.76	0.0012991	20.043	22.518	97.547	31.496	43.448	267.15	0.89932	1.6340e-05	0.019648	vapor
322.34	21.632	884.45	0.0011306	19.971	22.417	96.262	31.733	44.334	265.49	0.89909	1.6393e-05	0.019851	vapor
322.34	24.211	1002.1	0.00099788	19.897	22.313	95.091	31.977	45.277	263.82	0.89870	1.6450e-05	0.020066	vapor
322.34	26.789	1122.9	0.00089051	19.821	22.207	94.008	32.227	46.281	262.13	0.89816	1.6512e-05	0.020296	vapor
322.34	29.368	1247.1	0.00080183	19.743	22.098	92.996	32.484	47.353	260.42	0.89743	1.6578e-05	0.020540	vapor
322.34	31.947	1374.9	0.00072730	19.664	21.987	92.041	32.750	48.501	258.69	0.89650	1.6650e-05	0.020801	vapor
322.34	34.526	1506.6	0.00066375	19.582	21.874	91.133	33.023	49.733	256.95	0.89535	1.6728e-05	0.021080	vapor
322.34	37.105	1642.4	0.00060887	19.499	21.758	90.264	33.306	51.060	255.19	0.89395	1.6812e-05	0.021379	vapor
322.34	39.684	1782.6	0.00056097	19.412	21.639	89.426	33.598	52.492	253.40	0.89228	1.6903e-05	0.021701	vapor
322.34	42.263	1927.7	0.00051876	19.324	21.516	88.615	33.900	54.043	251.61	0.89029	1.7002e-05	0.022048	vapor
322.34	44.842	2077.9	0.00048126	19.232	21.390	87.825	34.214	55.729	249.79	0.88796	1.7109e-05	0.022423	vapor
322.34	47.421	2233.8	0.00044767	19.138	21.261	87.052	34.540	57.569	247.95	0.88525	1.7226e-05	0.022829	vapor
322.34	50.000	2395.8	0.00041740	19.040	21.127	86.292	34.879	59.585	246.10	0.88210	1.7353e-05	0.023271	vapor
