Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
176.87	1.0000	68.290	0.014643	2.1926	3.6570	143.92	12.509	20.970	247.36	0.91258	1.4301e-05	0.011206	vapor
176.87	3.5789	247.15	0.0040462	2.1591	3.6072	133.13	12.607	21.463	246.50	0.90658	1.4379e-05	0.011345	vapor
176.87	6.1579	430.12	0.0023250	2.1249	3.5566	128.42	12.708	21.984	245.63	0.90035	1.4463e-05	0.011492	vapor
176.87	8.7368	617.42	0.0016197	2.0900	3.5051	125.31	12.811	22.537	244.77	0.89389	1.4553e-05	0.011648	vapor
176.87	11.316	809.29	0.0012357	2.0544	3.4527	122.96	12.918	23.124	243.92	0.88715	1.4649e-05	0.011814	vapor
176.87	13.895	1006.0	0.00099405	2.0181	3.3993	121.04	13.027	23.748	243.07	0.88013	1.4752e-05	0.011991	vapor
176.87	16.474	1207.8	0.00082796	1.9809	3.3448	119.42	13.139	24.414	242.22	0.87281	1.4863e-05	0.012180	vapor
176.87	19.053	1415.0	0.00070671	1.9429	3.2893	117.99	13.254	25.124	241.38	0.86514	1.4981e-05	0.012381	vapor
176.87	21.632	1627.9	0.00061427	1.9040	3.2327	116.71	13.373	25.884	240.56	0.85712	1.5108e-05	0.012597	vapor
176.87	24.211	1847.0	0.00054142	1.8641	3.1749	115.54	13.495	26.698	239.74	0.84870	1.5245e-05	0.012827	vapor
176.87	26.789	2072.5	0.00048250	1.8232	3.1158	114.46	13.621	27.572	238.93	0.83987	1.5391e-05	0.013073	vapor
176.87	29.368	2305.0	0.00043385	1.7813	3.0554	113.45	13.751	28.513	238.14	0.83059	1.5547e-05	0.013338	vapor
176.87	31.947	2544.8	0.00039296	1.7382	2.9936	112.50	13.885	29.527	237.36	0.82084	1.5715e-05	0.013621	vapor
176.87	34.526	2792.5	0.00035811	1.6940	2.9304	111.60	14.023	30.622	236.61	0.81057	1.5895e-05	0.013926	vapor
176.87	37.105	3048.6	0.00032802	1.6485	2.8656	110.73	14.165	31.807	235.87	0.79976	1.6089e-05	0.014254	vapor
176.87	39.684	3313.8	0.00030177	1.6016	2.7992	109.90	14.312	33.092	235.17	0.78837	1.6296e-05	0.014607	vapor
176.87	42.263	3588.7	0.00027866	1.5533	2.7310	109.09	14.463	34.489	234.49	0.77637	1.6519e-05	0.014986	vapor
176.87	44.842	3874.0	0.00025813	1.5035	2.6610	108.30	14.619	36.010	233.86	0.76370	1.6758e-05	0.015396	vapor
176.87	47.421	4170.5	0.00023978	1.4521	2.5891	107.53	14.779	37.668	233.26	0.75035	1.7015e-05	0.015837	vapor
176.87	50.000	4479.1	0.00022326	1.3989	2.5152	106.78	14.944	39.479	232.72	0.73626	1.7292e-05	0.016312	vapor
