Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
353.04	1.0000	34.164	0.029271	21.453	24.380	127.07	31.256	39.686	290.19	0.71765	1.7500e-05	0.020934	vapor
353.04	3.5789	123.17	0.0081187	21.401	24.306	116.32	31.393	40.127	289.02	0.71743	1.7535e-05	0.021062	vapor
353.04	6.1579	213.51	0.0046835	21.348	24.232	111.66	31.531	40.585	287.86	0.71714	1.7571e-05	0.021195	vapor
353.04	8.7368	305.23	0.0032762	21.294	24.156	108.60	31.671	41.059	286.70	0.71678	1.7609e-05	0.021333	vapor
353.04	11.316	398.38	0.0025102	21.239	24.080	106.29	31.813	41.550	285.54	0.71633	1.7650e-05	0.021476	vapor
353.04	13.895	492.99	0.0020284	21.184	24.003	104.43	31.958	42.060	284.38	0.71580	1.7692e-05	0.021624	vapor
353.04	16.474	589.12	0.0016974	21.128	23.924	102.85	32.104	42.589	283.22	0.71518	1.7737e-05	0.021779	vapor
353.04	19.053	686.84	0.0014560	21.071	23.845	101.48	32.252	43.139	282.06	0.71446	1.7785e-05	0.021939	vapor
353.04	21.632	786.18	0.0012720	21.014	23.765	100.26	32.402	43.709	280.91	0.71365	1.7835e-05	0.022106	vapor
353.04	24.211	887.21	0.0011271	20.956	23.685	99.156	32.555	44.303	279.75	0.71273	1.7888e-05	0.022279	vapor
353.04	26.789	990.00	0.0010101	20.897	23.603	98.145	32.709	44.920	278.60	0.71170	1.7944e-05	0.022460	vapor
353.04	29.368	1094.6	0.00091358	20.837	23.520	97.209	32.866	45.563	277.45	0.71054	1.8003e-05	0.022648	vapor
353.04	31.947	1201.1	0.00083258	20.776	23.436	96.334	33.025	46.233	276.30	0.70927	1.8065e-05	0.022844	vapor
353.04	34.526	1309.5	0.00076363	20.714	23.351	95.510	33.186	46.930	275.16	0.70786	1.8130e-05	0.023049	vapor
353.04	37.105	1420.0	0.00070421	20.651	23.264	94.730	33.350	47.658	274.02	0.70631	1.8199e-05	0.023262	vapor
353.04	39.684	1532.6	0.00065248	20.588	23.177	93.988	33.516	48.418	272.88	0.70462	1.8272e-05	0.023485	vapor
353.04	42.263	1647.4	0.00060701	20.523	23.088	93.277	33.684	49.211	271.75	0.70276	1.8349e-05	0.023718	vapor
353.04	44.842	1764.5	0.00056673	20.457	22.998	92.594	33.855	50.040	270.63	0.70074	1.8431e-05	0.023961	vapor
353.04	47.421	1884.0	0.00053079	20.390	22.907	91.936	34.028	50.907	269.51	0.69855	1.8517e-05	0.024216	vapor
353.04	50.000	2005.9	0.00049852	20.322	22.815	91.298	34.203	51.814	268.40	0.69617	1.8607e-05	0.024482	vapor
