Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
161.49	1.0000	74.895	0.013352	1.9989	3.3341	142.01	12.523	21.023	236.21	1.0647	1.3141e-05	0.010295	vapor
161.49	3.5789	272.04	0.0036759	1.9600	3.2756	131.17	12.659	21.666	234.97	1.0582	1.3227e-05	0.010446	vapor
161.49	6.1579	475.29	0.0021040	1.9202	3.2158	126.41	12.801	22.362	233.72	1.0514	1.3319e-05	0.010610	vapor
161.49	8.7368	685.12	0.0014596	1.8791	3.1543	123.24	12.950	23.118	232.45	1.0441	1.3420e-05	0.010786	vapor
161.49	11.316	902.08	0.0011086	1.8368	3.0912	120.82	13.105	23.942	231.16	1.0365	1.3530e-05	0.010978	vapor
161.49	13.895	1126.8	0.00088748	1.7932	3.0263	118.84	13.268	24.845	229.86	1.0283	1.3649e-05	0.011186	vapor
161.49	16.474	1359.9	0.00073533	1.7480	2.9594	117.13	13.439	25.837	228.54	1.0196	1.3779e-05	0.011414	vapor
161.49	19.053	1602.3	0.00062409	1.7013	2.8904	115.63	13.620	26.935	227.20	1.0103	1.3921e-05	0.011664	vapor
161.49	21.632	1854.9	0.00053910	1.6528	2.8190	114.26	13.810	28.154	225.84	1.0004	1.4075e-05	0.011939	vapor
161.49	24.211	2118.8	0.00047196	1.6024	2.7450	112.99	14.012	29.517	224.46	0.98961	1.4244e-05	0.012242	vapor
161.49	26.789	2395.3	0.00041749	1.5498	2.6682	111.81	14.226	31.051	223.06	0.97800	1.4430e-05	0.012579	vapor
161.49	29.368	2685.8	0.00037233	1.4948	2.5883	110.69	14.453	32.789	221.64	0.96541	1.4634e-05	0.012954	vapor
161.49	31.947	2992.2	0.00033420	1.4371	2.5048	109.61	14.697	34.776	220.19	0.95171	1.4859e-05	0.013375	vapor
161.49	34.526	3316.8	0.00030150	1.3764	2.4174	108.56	14.958	37.068	218.72	0.93675	1.5107e-05	0.013848	vapor
161.49	37.105	3662.0	0.00027307	1.3123	2.3255	107.53	15.240	39.738	217.23	0.92035	1.5384e-05	0.014385	vapor
161.49	39.684	4031.4	0.00024805	1.2441	2.2285	106.51	15.544	42.888	215.72	0.90229	1.5692e-05	0.014997	vapor
161.49	42.263	4429.2	0.00022578	1.1714	2.1256	105.50	15.875	46.652	214.18	0.88231	1.6039e-05	0.015701	vapor
161.49	44.842	4860.6	0.00020574	1.0933	2.0158	104.47	16.238	51.222	212.62	0.86008	1.6430e-05	0.016517	vapor
161.49	47.421	5332.8	0.00018752	1.0087	1.8979	103.43	16.638	56.869	211.04	0.83521	1.6877e-05	0.017472	vapor
161.49	50.000	5855.1	0.00017079	0.91628	1.7702	102.35	17.080	63.991	209.46	0.80718	1.7393e-05	0.018601	vapor

